"otu","mda_median","iqr25","iqr75","study","rank"
"Aeromonas",0.0729248897555534,0.0729248897555534,0.0729248897555534,"dejea","58"
"Coriobacteriaceae_unclassified",0.0717809293046135,0.0717809293046135,0.0717809293046135,"dejea","59"
"Actinomycetales_unclassified",0.071323045856792,0.071323045856792,0.071323045856792,"dejea","60"
"Acidovorax",0.0709800129694867,0.0709800129694867,0.0709800129694867,"dejea","61"
"Anaerofilum",0.0696813771278302,0.0696813771278302,0.0696813771278302,"dejea","62"
"Selenomonadales_unclassified",0.0654355335411063,0.0654355335411063,0.0654355335411063,"dejea","63"
"Sphingomonadaceae_unclassified",0.0629705835100572,0.0629705835100572,0.0629705835100572,"dejea","64"
"Pyramidobacter",0.0627276873707349,0.0627276873707349,0.0627276873707349,"dejea","65"
"Gammaproteobacteria_unclassified",0.0592444055944056,0.0592444055944056,0.0592444055944056,"dejea","66"
"Burkholderiales_unclassified",0.0583684674974149,0.0583684674974149,0.0583684674974149,"dejea","67"
"Chryseobacterium",0.0564365717186151,0.0564365717186151,0.0564365717186151,"dejea","68"
"Acinetobacter",0.054883851442675,0.054883851442675,0.054883851442675,"dejea","69"
"Sphingomonadales_unclassified",0.0545455988455988,0.0545455988455988,0.0545455988455988,"dejea","70"
"Parasutterella",0.0529514857691328,0.0529514857691328,0.0529514857691328,"dejea","71"
"Peptostreptococcaceae_unclassified",0.0482674501109486,0.0482674501109486,0.0482674501109486,"dejea","72"
"Neisseriaceae_unclassified",0.0482144688644689,0.0482144688644689,0.0482144688644689,"dejea","73"
"Alphaproteobacteria_unclassified",0.0473110334364339,0.0473110334364339,0.0473110334364339,"dejea","74"
"Sutterella",0.0469021815473828,0.0469021815473828,0.0469021815473828,"dejea","75"
"Sporobacter",0.0425064935064935,0.0425064935064935,0.0425064935064935,"dejea","76"
"Actinomyces",0.0424206682206682,0.0424206682206682,0.0424206682206682,"dejea","77"
"Microvirgula",0.0420196395967294,0.0420196395967294,0.0420196395967294,"dejea","78"
"Methylobacterium",0.0402056133409075,0.0402056133409075,0.0402056133409075,"dejea","79"
"Bacilli_unclassified",0.0400385460518453,0.0400385460518453,0.0400385460518453,"dejea","80"
"Sphingomonas",0.0391619923935713,0.0391619923935713,0.0391619923935713,"dejea","81"
"Bradyrhizobiaceae_unclassified",0.037718645226089,0.037718645226089,0.037718645226089,"dejea","82"
"Peptoniphilus",0.0317534530828648,0.0317534530828648,0.0317534530828648,"dejea","83"
"Propionibacterium",0.0293066149536738,0.0293066149536738,0.0293066149536738,"dejea","84"
"Porphyromonas",0.0279064935064935,0.0279064935064935,0.0279064935064935,"dejea","85"
"Enterococcaceae_unclassified",0.0261510176098411,0.0261510176098411,0.0261510176098411,"dejea","86"
"Synergistaceae_unclassified",0.0259141564318035,0.0259141564318035,0.0259141564318035,"dejea","87"
"Alcaligenaceae_unclassified",0.0251895604395604,0.0251895604395604,0.0251895604395604,"dejea","88"
"Anaerovorax",0.0250418856505813,0.0250418856505813,0.0250418856505813,"dejea","89"
"Delftia",0.0240014555619819,0.0240014555619819,0.0240014555619819,"dejea","90"
"Xanthomonas",0.0239114219114219,0.0239114219114219,0.0239114219114219,"dejea","91"
"Pseudomonadaceae_unclassified",0.0227955486542443,0.0227955486542443,0.0227955486542443,"dejea","92"
"Roseateles",0.0223303363303363,0.0223303363303363,0.0223303363303363,"dejea","93"
"Xanthomonadaceae_unclassified",0.0209364801864802,0.0209364801864802,0.0209364801864802,"dejea","94"
"Rhizobiaceae_unclassified",0.0200401337792642,0.0200401337792642,0.0200401337792642,"dejea","95"
"Bilophila",0.0197901805796543,0.0197901805796543,0.0197901805796543,"dejea","96"
"Clostridium_sensu_stricto",0.0185030303030303,0.0185030303030303,0.0185030303030303,"dejea","97"
"Anaerococcus",0.0182954545454545,0.0182954545454545,0.0182954545454545,"dejea","98"
"Afipia",0.0173666792399058,0.0173666792399058,0.0173666792399058,"dejea","99"
"Brevundimonas",0.0170142857142857,0.0170142857142857,0.0170142857142857,"dejea","100"
"Lactobacillus",0.0168434065934066,0.0168434065934066,0.0168434065934066,"dejea","101"
"Barnesiella",0.0161083220872695,0.0161083220872695,0.0161083220872695,"dejea","102"
"Lachnoanaerobaculum",0.0156324786324786,0.0156324786324786,0.0156324786324786,"dejea","103"
"Megamonas",0.0154801864801865,0.0154801864801865,0.0154801864801865,"dejea","104"
"Campylobacter",0.0128030303030303,0.0128030303030303,0.0128030303030303,"dejea","105"
"Mogibacterium",0.010235005574136,0.010235005574136,0.010235005574136,"dejea","106"
"Fusobacteriales_unclassified",0.00973333333333333,0.00973333333333333,0.00973333333333333,"dejea","107"
"Finegoldia",0.00942857142857143,0.00942857142857143,0.00942857142857143,"dejea","108"
"Bacillaceae_1_unclassified",0.00936904761904762,0.00936904761904762,0.00936904761904762,"dejea","109"
"Oxalobacteraceae_unclassified",0.00920911905432029,0.00920911905432029,0.00920911905432029,"dejea","110"
"Nitratireductor",0.00819047619047619,0.00819047619047619,0.00819047619047619,"dejea","111"
"Veillonella",0.00712087912087912,0.00712087912087912,0.00712087912087912,"dejea","112"
"Clostridiaceae_1_unclassified",0.007,0.007,0.007,"dejea","113"
"Alloprevotella",0.00691190476190476,0.00691190476190476,0.00691190476190476,"dejea","114"
"Mobiluncus",0.00617142857142857,0.00617142857142857,0.00617142857142857,"dejea","115"
"Aquaspirillum",0.0061025641025641,0.0061025641025641,0.0061025641025641,"dejea","116"
"Bacillales_unclassified",0.00569230769230769,0.00569230769230769,0.00569230769230769,"dejea","117"
"Paraprevotella",0.00541052631578948,0.00541052631578948,0.00541052631578948,"dejea","118"
"Rhizobiales_unclassified",0.00513333333333333,0.00513333333333333,0.00513333333333333,"dejea","119"
"Howardella",0.00496410256410256,0.00496410256410256,0.00496410256410256,"dejea","120"
"Actinobacteria_unclassified",0.0048,0.0048,0.0048,"dejea","121"
"Vogesella",0.00371428571428572,0.00371428571428572,0.00371428571428572,"dejea","122"
"Bradyrhizobium",0.00366666666666667,0.00366666666666667,0.00366666666666667,"dejea","123"
"Tepidimonas",0.0036,0.0036,0.0036,"dejea","124"
"Moryella",0.00333333333333333,0.00333333333333333,0.00333333333333333,"dejea","125"
"Chitinophagaceae_unclassified",0.003,0.003,0.003,"dejea","126"
"Bordetella",0.00266666666666667,0.00266666666666667,0.00266666666666667,"dejea","127"
"Aquabacterium",0,0,0,"dejea","128"
"Coprococcus",0,0,0,"dejea","129"
"Herbaspirillum",0,0,0,"dejea","130"
"Mitsuokella",0,0,0,"dejea","131"
"Ochrobactrum",0,0,0,"dejea","132"
